01  0807 1639  0746 1721  0700 1805  0559 1849  0503 1932  0427 2009  0427 2020  0458 1954  0538 1900  0619 1759  0703 1702  0746 1631
02  0807 1640  0745 1723  0658 1806  0557 1851  0501 1933  0426 2010  0427 2020  0459 1952  0540 1858  0620 1757  0705 1701  0748 1630
03  0807 1641  0743 1724  0656 1808  0555 1852  0500 1934  0425 2011  0428 2020  0500 1951  0541 1856  0621 1755  0706 1659  0749 1630
04  0807 1642  0742 1726  0655 1809  0553 1854  0458 1936  0425 2012  0428 2020  0501 1950  0542 1854  0623 1753  0708 1658  0750 1630
05  0807 1643  0741 1727  0653 1811  0551 1855  0457 1937  0424 2012  0429 2019  0503 1948  0544 1852  0624 1751  0709 1657  0751 1629
06  0807 1645  0739 1729  0651 1812  0549 1856  0455 1938  0424 2013  0430 2019  0504 1946  0545 1850  0626 1749  0711 1655  0752 1629
07  0807 1646  0738 1731  0649 1813  0547 1858  0454 1940  0424 2014  0431 2018  0505 1945  0546 1848  0627 1747  0712 1654  0753 1629
08  0806 1647  0736 1732  0647 1815  0545 1859  0452 1941  0423 2015  0432 2018  0506 1943  0548 1846  0628 1745  0714 1652  0754 1629
09  0806 1648  0735 1734  0645 1816  0543 1901  0451 1942  0423 2015  0432 2017  0508 1942  0549 1844  0630 1743  0716 1651  0755 1629
10  0806 1649  0733 1735  0643 1818  0541 1902  0449 1944  0423 2016  0433 2017  0509 1940  0550 1842  0631 1741  0717 1650  0756 1628
11  0805 1651  0732 1737  0641 1819  0539 1903  0448 1945  0422 2017  0434 2016  0510 1939  0552 1840  0633 1739  0719 1648  0757 1628
12  0805 1652  0730 1738  0639 1821  0537 1905  0447 1946  0422 2017  0435 2015  0512 1937  0553 1838  0634 1738  0720 1647  0758 1629
13  0804 1653  0728 1740  0637 1822  0535 1906  0445 1948  0422 2018  0436 2015  0513 1935  0554 1836  0635 1736  0722 1646  0759 1629
14  0803 1654  0727 1742  0635 1824  0533 1908  0444 1949  0422 2018  0437 2014  0514 1933  0556 1834  0637 1734  0723 1645  0800 1629
15  0803 1656  0725 1743  0633 1825  0531 1909  0443 1950  0422 2019  0438 2013  0516 1932  0557 1832  0638 1732  0724 1644  0801 1629
16  0802 1657  0724 1745  0631 1827  0529 1911  0442 1951  0422 2019  0439 2012  0517 1930  0558 1830  0640 1730  0726 1643  0801 1629
17  0801 1659  0722 1746  0629 1828  0528 1912  0440 1953  0422 2020  0440 2011  0518 1928  0600 1828  0641 1728  0727 1641  0802 1629
18  0801 1700  0720 1748  0627 1829  0526 1913  0439 1954  0422 2020  0441 2010  0520 1926  0601 1826  0643 1726  0729 1640  0803 1630
19  0800 1701  0718 1749  0625 1831  0524 1915  0438 1955  0422 2020  0442 2009  0521 1925  0602 1824  0644 1724  0730 1639  0803 1630
20  0759 1703  0717 1751  0623 1832  0522 1916  0437 1956  0422 2020  0443 2008  0522 1923  0604 1822  0646 1723  0732 1639  0804 1631
21  0758 1704  0715 1752  0621 1834  0520 1918  0436 1957  0422 2021  0444 2007  0524 1921  0605 1820  0647 1721  0733 1638  0805 1631
22  0757 1706  0713 1754  0619 1835  0518 1919  0435 1959  0423 2021  0445 2006  0525 1919  0606 1818  0649 1719  0735 1637  0805 1632
23  0756 1707  0711 1755  0617 1837  0517 1920  0434 2000  0423 2021  0447 2005  0526 1917  0608 1815  0650 1717  0736 1636  0806 1632
24  0755 1709  0709 1757  0615 1838  0515 1922  0433 2001  0423 2021  0448 2004  0528 1915  0609 1813  0651 1716  0737 1635  0806 1633
25  0754 1710  0708 1759  0613 1840  0513 1923  0432 2002  0424 2021  0449 2003  0529 1914  0610 1811  0653 1714  0739 1634  0806 1633
26  0753 1712  0706 1800  0611 1841  0511 1925  0431 2003  0424 2021  0450 2002  0530 1912  0612 1809  0654 1712  0740 1634  0807 1634
27  0752 1713  0704 1802  0609 1842  0510 1926  0430 2004  0424 2021  0451 2000  0532 1910  0613 1807  0656 1711  0741 1633  0807 1635
28  0751 1715  0702 1803  0607 1844  0508 1927  0429 2005  0425 2021  0453 1959  0533 1908  0615 1805  0657 1709  0743 1632  0807 1636
29  0750 1716   NaN  NaN  0605 1845  0506 1929  0429 2006  0425 2021  0454 1958  0534 1906  0616 1803  0659 1707  0744 1632  0807 1636
30  0749 1718   NaN  NaN  0603 1847  0505 1930  0428 2007  0426 2021  0455 1957  0536 1904  0617 1801  0700 1706  0745 1631  0807 1637
31  0747 1720   NaN  NaN  0601 1848   NaN  NaN  0427 2008   NaN  NaN  0456 1955  0537 1902   NaN  NaN  0702 1704   NaN  NaN  0807 1638
